iter	RMSE
0	88.40790315
1	82.2379964
2	76.08233007
3	70.40222474
4	65.58784328
5	61.20145371
6	57.33014516
7	53.6409319
8	50.20358814
9	47.02133514
10	43.95701491
11	41.25821592
12	38.81565883
13	36.56410461
14	34.42283244
15	32.4445105
16	30.79655686
17	28.94066855
18	27.4257186
19	26.06279782
20	24.715844
21	23.60085231
22	22.49932195
23	21.39009069
24	20.39465222
25	19.57113287
26	18.69715723
27	17.96983112
28	17.42016659
29	16.91085372
30	16.41031089
31	15.93662975
32	15.59130268
33	15.2190345
34	14.8480661
35	14.3326213
36	14.08299782
37	13.75980489
38	13.42160239
39	13.11000943
40	12.95752033
41	12.80076438
42	12.65175211
43	12.45699921
44	12.18749884
45	12.09427489
46	11.96834804
47	11.86256816
48	11.74661832
49	11.62679031
50	11.52091237
51	11.45225734
52	11.32943849
53	11.17807422
54	11.05561652
55	10.95352939
56	10.83083693
57	10.76518023
58	10.65450605
59	10.64510431
60	10.59306698
61	10.51915654
62	10.44752407
63	10.39995058
64	10.35595441
65	10.30673496
66	10.26601645
67	10.23911741
68	10.19847275
69	10.16071327
70	10.13727669
71	10.07838851
72	10.01053449
73	9.950752458
74	9.866895899
75	9.80336154
76	9.746065315
77	9.706988251
78	9.649384171
79	9.596541609
80	9.545929343
81	9.465262944
82	9.382115599
83	9.331833113
84	9.301749449
85	9.267088256
86	9.221368225
87	9.176060599
88	9.12505121
89	9.059765924
90	8.990990661
91	8.95189703
92	8.925899709
93	8.896004018
94	8.854033825
95	8.842430633
96	8.780662115
97	8.72313131
98	8.695664369
99	8.658888947
100	8.637701738
101	8.594751481
102	8.558548473
103	8.527193607
104	8.473983154
105	8.439001041
106	8.40004009
107	8.375798826
108	8.342348654
109	8.310499182
110	8.268875406
111	8.236667583
112	8.217141167
113	8.196146293
114	8.170528707
115	8.135289877
116	8.114984253
117	8.083454297
118	8.057596314
119	8.032319554
120	8.001909423
121	7.969437695
122	7.953859957
123	7.943216932
124	7.901882285
125	7.88082751
126	7.859296955
127	7.822685201
128	7.800244922
129	7.763238286
130	7.737219868
131	7.726836555
132	7.706562488
133	7.698277735
134	7.665092687
135	7.643565904
136	7.606385177
137	7.584711897
138	7.568294017
139	7.557789689
140	7.540578721
141	7.518365997
142	7.492000343
143	7.470705449
144	7.441224707
145	7.416483417
146	7.399060556
147	7.390844904
148	7.363660457
149	7.356677325
150	7.340270937
151	7.323026177
152	7.307976203
153	7.295020858
154	7.278786909
155	7.260014665
156	7.238301987
157	7.217621588
158	7.202194184
159	7.188917353
160	7.17110404
161	7.161641676
162	7.153504675
163	7.140019592
164	7.129378748
165	7.119421579
166	7.1045853
167	7.094267378
168	7.081053333
169	7.064810876
170	7.048182559
171	7.044014586
172	7.032272112
173	7.016100847
174	7.003224331
175	6.985527378
176	6.971254353
177	6.961367333
178	6.9544162
179	6.938176916
180	6.929484887
181	6.921187746
182	6.902956181
183	6.894950638
184	6.883086437
185	6.862344383
186	6.84956722
187	6.83544805
188	6.818962871
189	6.803095157
190	6.782426184
191	6.764783785
192	6.757309751
193	6.752340703
194	6.741623317
195	6.731608232
196	6.716795996
197	6.704290024
198	6.687869434
199	6.673733098
200	6.66781749
201	6.660055424
202	6.644407779
203	6.638216041
204	6.623533158
205	6.614789888
206	6.597820044
207	6.582552713
208	6.567525031
209	6.559939133
210	6.554559384
211	6.54095371
212	6.530270198
213	6.52487376
214	6.521322583
215	6.50476217
216	6.497939254
217	6.490733683
218	6.486436812
219	6.476549665
220	6.467467372
221	6.459349385
222	6.448067483
223	6.433436441
224	6.428056241
225	6.423372657
226	6.408003676
227	6.401687241
228	6.389045875
229	6.376698382
230	6.371189
231	6.363052209
232	6.358047018
233	6.353931762
234	6.348953422
235	6.341892807
236	6.334327475
237	6.322516633
238	6.318460062
239	6.305967554
240	6.299401906
241	6.285919337
242	6.279575091
243	6.273813542
244	6.264673309
245	6.254918242
246	6.250387675
247	6.24087183
248	6.226649755
249	6.223739415
250	6.209239337
251	6.197282163
252	6.189629927
253	6.182164027
254	6.174475876
255	6.173164418
256	6.167114643
257	6.161661904
258	6.155900589
259	6.150377222
260	6.14095821
261	6.129727638
262	6.117049012
263	6.108729109
264	6.096101179
265	6.083524929
266	6.077529288
267	6.066405918
268	6.060965602
269	6.05696158
270	6.051308242
271	6.045850297
272	6.043026652
273	6.037581965
274	6.029342284
275	6.025034223
276	6.020832422
277	6.010711547
278	5.996881878
279	5.994705764
280	5.978978662
281	5.968468683
282	5.963166892
283	5.953638481
284	5.94937907
285	5.946273522
286	5.937984934
287	5.930485597
288	5.921466013
289	5.913590672
290	5.906869615
291	5.900626546
292	5.893874491
293	5.886190461
294	5.880353273
295	5.876557764
296	5.872635843
297	5.867341164
298	5.861923911
299	5.851968187
300	5.840357806
301	5.826608878
302	5.821948826
303	5.812631019
304	5.808976953
305	5.795985662
306	5.788794073
307	5.78475767
308	5.782280666
309	5.769484132
310	5.763597844
311	5.753993881
312	5.747161559
313	5.739839984
314	5.736682526
315	5.727602362
316	5.721555003
317	5.715633079
318	5.706485428
319	5.69722391
320	5.692571876
321	5.682951691
322	5.669129354
323	5.661726569
324	5.659151422
325	5.651243914
326	5.639843071
327	5.633041112
328	5.629342098
329	5.625229343
330	5.621282997
331	5.612711085
332	5.603916498
333	5.596731926
334	5.586501795
335	5.576142154
336	5.57319405
337	5.568192592
338	5.561706504
339	5.554045319
340	5.550396699
341	5.548558695
342	5.533042998
343	5.52522777
344	5.518646636
345	5.513018551
346	5.504932354
347	5.501821993
348	5.487768331
349	5.484570564
350	5.47590757
351	5.466249627
352	5.459122321
353	5.457655036
