iter	Passed	Remaining
0	164	82042
1	187	46658
2	210	34906
3	232	28775
4	250	24766
5	271	22385
6	294	20729
7	314	19371
8	335	18323
9	356	17466
10	376	16740
11	396	16130
12	419	15720
13	442	15367
14	463	14987
15	484	14652
16	506	14376
17	527	14125
18	548	13875
19	569	13679
20	593	13530
21	613	13323
22	633	13134
23	653	12970
24	674	12814
25	695	12684
26	720	12622
27	743	12532
28	767	12470
29	790	12388
30	812	12287
31	839	12281
32	861	12185
33	883	12115
34	906	12041
35	926	11946
36	947	11854
37	967	11759
38	987	11673
39	1007	11587
40	1027	11501
41	1047	11427
42	1068	11350
43	1089	11291
44	1109	11219
45	1132	11173
46	1154	11123
47	1175	11072
48	1196	11014
49	1215	10943
50	1236	10885
51	1256	10825
52	1276	10766
53	1296	10707
54	1317	10660
55	1338	10614
56	1359	10564
57	1380	10522
58	1403	10492
59	1417	10393
60	1440	10364
61	1463	10337
62	1483	10289
63	1505	10255
64	1525	10205
65	1545	10161
66	1566	10124
67	1587	10086
68	1608	10048
69	1630	10014
70	1649	9967
71	1669	9926
72	1689	9881
73	1711	9853
74	1735	9833
75	1756	9800
76	1776	9758
77	1796	9719
78	1818	9688
79	1838	9653
80	1858	9614
81	1878	9577
82	1898	9540
83	1918	9502
84	1937	9461
85	1958	9429
86	1978	9392
87	1998	9356
88	2017	9318
89	2036	9278
90	2055	9239
91	2074	9199
92	2094	9165
93	2114	9132
94	2133	9095
95	2155	9069
96	2175	9036
97	2194	9000
98	2213	8964
99	2232	8930
100	2251	8893
101	2270	8860
102	2296	8851
103	2319	8831
104	2339	8802
105	2360	8774
106	2379	8741
107	2399	8709
108	2419	8679
109	2439	8647
110	2459	8618
111	2483	8603
112	2505	8580
113	2525	8550
114	2545	8520
115	2564	8489
116	2585	8465
117	2605	8434
118	2625	8407
119	2644	8373
120	2663	8341
121	2686	8323
122	2710	8307
123	2731	8283
124	2754	8262
125	2773	8231
126	2793	8203
127	2814	8179
128	2834	8151
129	2854	8124
130	2875	8099
131	2896	8076
132	2918	8053
133	2937	8022
134	2956	7994
135	2977	7968
136	2996	7940
137	3016	7913
138	3035	7884
139	3055	7855
140	3074	7828
141	3095	7804
142	3115	7777
143	3135	7750
144	3157	7731
145	3178	7707
146	3201	7687
147	3223	7665
148	3242	7637
149	3262	7612
150	3283	7589
151	3304	7565
152	3324	7539
153	3343	7513
154	3363	7486
155	3386	7467
156	3408	7446
157	3429	7422
158	3448	7395
159	3467	7368
160	3487	7343
161	3507	7318
162	3528	7294
163	3548	7269
164	3571	7250
165	3591	7226
166	3612	7202
167	3631	7177
168	3652	7152
169	3674	7133
170	3699	7117
171	3720	7095
172	3742	7074
173	3764	7052
174	3784	7028
175	3807	7009
176	3830	6989
177	3852	6968
178	3875	6950
179	3897	6928
180	3919	6907
181	3941	6887
182	3968	6874
183	3990	6853
184	4009	6827
185	4029	6802
186	4049	6778
187	4069	6753
188	4088	6727
189	4108	6704
190	4128	6679
191	4148	6654
192	4166	6628
193	4185	6601
194	4206	6579
195	4227	6557
196	4248	6533
197	4268	6510
198	4287	6484
199	4311	6467
200	4345	6463
201	4372	6450
202	4397	6433
203	4416	6408
204	4437	6384
205	4456	6360
206	4476	6337
207	4496	6312
208	4518	6290
209	4540	6269
210	4559	6245
211	4578	6219
212	4598	6195
213	4617	6171
214	4637	6147
215	4660	6127
216	4683	6107
217	4711	6094
218	4737	6078
219	4762	6061
220	4785	6041
221	4807	6020
222	4829	5999
223	4850	5976
224	4870	5952
225	4889	5928
226	4910	5906
227	4931	5882
228	4950	5858
229	4971	5836
230	4990	5811
231	5011	5789
232	5031	5765
233	5051	5742
234	5072	5719
235	5092	5696
236	5112	5673
237	5135	5652
238	5154	5629
239	5176	5607
240	5197	5585
241	5217	5561
242	5238	5540
243	5260	5518
244	5279	5495
245	5301	5473
246	5321	5450
247	5342	5428
248	5361	5404
249	5381	5381
250	5402	5359
251	5423	5337
252	5443	5314
253	5463	5291
254	5484	5269
255	5503	5245
256	5522	5221
257	5541	5197
258	5561	5174
259	5583	5154
260	5602	5130
261	5623	5108
262	5645	5087
263	5668	5067
264	5693	5049
265	5715	5027
266	5737	5006
267	5756	4983
268	5775	4959
269	5795	4937
270	5816	4914
271	5837	4893
272	5857	4870
273	5877	4848
274	5896	4824
275	5915	4801
276	5936	4778
277	5957	4757
278	5979	4736
279	5999	4713
280	6020	4691
281	6040	4669
282	6059	4646
283	6079	4623
284	6098	4600
285	6117	4577
286	6139	4556
287	6159	4533
288	6178	4510
289	6198	4488
290	6217	4465
291	6237	4442
292	6256	4419
293	6275	4396
294	6295	4374
295	6314	4351
296	6333	4329
297	6355	4308
298	6376	4286
299	6397	4264
300	6419	4243
301	6443	4224
302	6466	4204
303	6486	4182
304	6506	4160
305	6527	4138
306	6546	4115
307	6566	4093
308	6585	4070
309	6604	4048
310	6624	4025
311	6644	4003
312	6668	3984
313	6692	3964
314	6713	3942
315	6736	3922
316	6758	3901
317	6780	3880
318	6800	3858
319	6820	3836
320	6839	3813
321	6857	3790
322	6878	3769
323	6898	3747
324	6919	3726
325	6939	3703
326	6958	3681
327	6977	3658
328	6996	3636
329	7015	3614
330	7034	3591
331	7053	3569
332	7072	3546
333	7092	3525
334	7113	3503
335	7133	3481
336	7152	3459
337	7172	3437
338	7192	3415
339	7212	3394
340	7231	3372
341	7252	3350
342	7271	3328
343	7291	3306
344	7311	3284
345	7330	3262
346	7349	3240
347	7368	3218
348	7388	3196
349	7409	3175
350	7430	3154
351	7453	3133
352	7473	3112
353	7494	3091
354	7515	3069
355	7534	3047
356	7554	3025
357	7573	3004
358	7594	2982
359	7613	2960
360	7633	2939
361	7657	2919
362	7680	2898
363	7701	2877
364	7723	2856
365	7745	2835
366	7766	2814
367	7785	2792
368	7805	2771
369	7826	2749
370	7846	2728
371	7866	2706
372	7889	2686
373	7909	2664
374	7930	2643
375	7951	2622
376	7970	2600
377	7992	2579
378	8012	2558
379	8031	2536
380	8051	2514
381	8070	2493
382	8090	2471
383	8110	2450
384	8132	2429
385	8152	2407
386	8171	2386
387	8192	2364
388	8211	2343
389	8230	2321
390	8251	2300
391	8272	2279
392	8293	2257
393	8313	2236
394	8332	2214
395	8351	2193
396	8374	2172
397	8396	2151
398	8415	2130
399	8435	2108
400	8456	2087
401	8480	2067
402	8504	2046
403	8525	2025
404	8545	2004
405	8567	1983
406	8590	1963
407	8610	1941
408	8633	1920
409	8654	1899
410	8676	1878
411	8697	1857
412	8718	1836
413	8736	1814
414	8756	1793
415	8776	1772
416	8797	1751
417	8816	1729
418	8836	1708
419	8855	1686
420	8875	1665
421	8894	1644
422	8915	1622
423	8935	1601
424	8957	1580
425	8977	1559
426	8997	1538
427	9016	1516
428	9035	1495
429	9054	1474
430	9074	1452
431	9094	1431
432	9113	1410
433	9132	1388
434	9151	1367
435	9171	1346
436	9191	1325
437	9212	1303
438	9232	1282
439	9251	1261
440	9271	1240
441	9291	1219
442	9311	1198
443	9331	1176
444	9352	1155
445	9372	1134
446	9393	1113
447	9414	1092
448	9436	1071
449	9456	1050
450	9476	1029
451	9496	1008
452	9517	987
453	9536	966
454	9556	945
455	9576	924
456	9598	903
457	9619	882
458	9641	861
459	9664	840
460	9685	819
461	9705	798
462	9725	777
463	9746	756
464	9765	735
465	9785	713
466	9803	692
467	9822	671
468	9841	650
469	9861	629
470	9879	608
471	9898	587
472	9917	566
473	9936	545
474	9956	524
475	9975	502
476	9996	481
477	10017	461
478	10038	440
479	10058	419
480	10077	398
481	10096	377
482	10115	356
483	10137	335
484	10156	314
485	10175	293
486	10197	272
487	10219	251
488	10238	230
489	10258	209
490	10281	188
491	10301	167
492	10321	146
493	10341	125
494	10361	104
495	10381	83
496	10402	62
497	10423	41
498	10443	20
499	10463	0
